,id,created_at,favorite_count,retweet_count,text,extended_tweet,source,coordinates,screen_name,created_at.1,followers_count,verified
592,1228617568614678528,Sat Feb 15 09:50:29 +0000 2020,0,0,"What Is A Computer Virus
https://t.co/e1efdFUrtt",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,RonaTsosie,Tue Feb 04 17:35:45 +0000 2020,16,False
593,1228617570028158977,Sat Feb 15 09:50:29 +0000 2020,0,0,Brotherhood is REAL,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,AripAizzudin,Mon Sep 04 03:52:46 +0000 2017,146,False
594,1228617573031272450,Sat Feb 15 09:50:30 +0000 2020,0,0,@IvyRiddle13 Wasn’t the cutoff date feb 4th roughly by event fictitious 201 scenario which was based on the Coronav… https://t.co/zM8ldqAAQM,@IvyRiddle13 Wasn’t the cutoff date feb 4th roughly by event fictitious 201 scenario which was based on the Coronavirus for quarantine to be effective??,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,wolfgate2,Tue Dec 08 17:31:19 +0000 2009,0,False
595,1228617573043970048,Sat Feb 15 09:50:30 +0000 2020,0,0,"China #Coronavirus: 1,526 Dead, 67,182 Cases - LIVE BREAKING NEWS COVERAGE van AgendaFreeTV #coronavirus #wuhan… https://t.co/wK0o7itthR","China #Coronavirus: 1,526 Dead, 67,182 Cases - LIVE BREAKING NEWS COVERAGE van AgendaFreeTV #coronavirus #wuhan #China  https://t.co/xxmoTsGSim","<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",,0406Guno,Fri Aug 08 13:38:04 +0000 2014,4365,False
596,1228617572129673216,Sat Feb 15 09:50:30 +0000 2020,0,0,"@Malachians @AndyMitten What rape case? Pls enlighten us with your wisdom.
Is it any new evidences? Or is it just allegations?",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Bole77,Sat Aug 01 01:03:27 +0000 2009,761,False
597,1228617576642760704,Sat Feb 15 09:50:31 +0000 2020,0,0,"67000 cases world wide!  Coronavirus: Death toll jumps past 1,500 in mainland China  https://t.co/ozUmUr47CU",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,OhJeenieee,Sun Feb 20 17:51:55 +0000 2011,362,False
598,1228617578706358272,Sat Feb 15 09:50:32 +0000 2020,0,0,"#Coronavirus EIGHT MORE CORONAVIRUS CASES IN TOKYO CONFIRMED, NHK REPORTS",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,LimDown,Thu Sep 01 11:19:03 +0000 2011,55,False
599,1228617579780083715,Sat Feb 15 09:50:32 +0000 2020,0,0,Coronavirus: China records over 5000 cases within 24hrs. This is becoming very serious. https://t.co/JBHXsIqdyD,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,NjokuCh02013702,Wed Feb 05 07:37:37 +0000 2020,0,False
600,1228617582845906944,Sat Feb 15 09:50:33 +0000 2020,0,0,"@drharshvardhan Sir, have addressed to fear of Nation on corona virus that country is fully prepared to fight with… https://t.co/xSwa9laRsq","@drharshvardhan Sir, have addressed to fear of Nation on corona virus that country is fully prepared to fight with this deadly virus, what are the precautions govt is taking &amp; what precautions people should take ??  @JPNadda @PMOIndia @AmitShah","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,chehriap,Mon Apr 12 18:34:31 +0000 2010,912,False
601,1228617583550750721,Sat Feb 15 09:50:33 +0000 2020,0,0,@News24 S.A now Swazini suspects of conoravirus I even heard this morning that Egypt has confirmed 1 contacted the… https://t.co/7nYUFKpU54,@News24 S.A now Swazini suspects of conoravirus I even heard this morning that Egypt has confirmed 1 contacted the virus I was quite glad that all other continents were affected except Africa coz everything is always pointed in Africa https://t.co/btoJ9sII92,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,strikeer007,Thu Jul 28 21:21:48 +0000 2011,315,False
602,1228617584347578368,Sat Feb 15 09:50:33 +0000 2020,0,0,Chinese banks disinfect banknotes to stop spread of coronavirus - 🤔 what could possibly fix this? https://t.co/Gz1DPJ2IHL,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,mayamiddlemiss,Thu Apr 07 14:37:10 +0000 2011,2059,False
